,_id,_season,_week,_season_type,_start_date,_start_time_tbd,_neutral_site,_conference_game,_attendance,_venue_id,_venue,_home_id,_home_team,_home_conference,_home_points,_home_line_scores,_home_post_win_prob,_away_id,_away_team,_away_conference,_away_points,_away_line_scores,_away_post_win_prob,_excitement_index,discriminator
0,302450154,2010,1,regular,2010-09-02T18:30:00.000Z,,False,False,0,3630.0,BB&T Field,154,Wake Forest,ACC,53,"[21, 14, 2, 16]",0.8574969410677336,2506,Presbyterian College,,13,"[0, 7, 6, 0]",0.14250305893226645,,
1,302452084,2010,1,regular,2010-09-02T19:00:00.000Z,,False,False,0,3965.0,UB Stadium,2084,Buffalo,Mid-American,31,"[3, 21, 7, 0]",0.9936480813643677,227,Rhode Island,,0,"[0, 0, 0, 0]",0.0063519186356323365,,
2,302452117,2010,1,regular,2010-09-02T19:00:00.000Z,,False,False,0,3786.0,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,33,"[16, 7, 3, 7]",0.9982822102533788,2261,Hampton,,0,"[0, 0, 0, 0]",0.001717789746621179,,
3,302452309,2010,1,regular,2010-09-02T19:00:00.000Z,,False,False,0,3696.0,Dix Stadium,2309,Kent State,Mid-American,41,"[17, 7, 10, 7]",,93,Murray State,,10,"[7, 3, 0, 0]",,,
4,302452050,2010,1,regular,2010-09-02T19:00:00.000Z,,False,False,0,3919.0,Scheumann Stadium,2050,Ball State,Mid-American,27,"[7, 0, 17, 3]",0.624190810354041,2546,Southeast Missouri State,,10,"[7, 0, 0, 3]",0.375809189645959,,
5,302450164,2010,1,regular,2010-09-02T19:30:00.000Z,,False,False,0,3754.0,High Point Solutions Stadium,164,Rutgers,Big East,31,"[3, 3, 15, 10]",0.9888514663226565,2450,Norfolk State,,0,"[0, 0, 0, 0]",0.011148533677343475,,
6,302452579,2010,1,regular,2010-09-02T19:30:00.000Z,,False,False,0,3994.0,Williams-Brice Stadium,2579,South Carolina,SEC,41,"[7, 17, 10, 7]",0.9278608858746394,2572,Southern Mississippi,Conference USA,13,"[3, 3, 0, 7]",0.07213911412536056,,
7,302450084,2010,1,regular,2010-09-02T19:30:00.000Z,,False,False,0,3830.0,Memorial Stadium,84,Indiana,Big Ten,51,"[17, 21, 10, 3]",0.9828993869472783,119,Towson,,17,"[0, 14, 0, 3]",0.017100613052721703,,
8,302450194,2010,1,regular,2010-09-02T19:30:00.000Z,,False,False,0,3861.0,Ohio Stadium,194,Ohio State,Big Ten,45,"[21, 14, 7, 3]",0.9987934239294318,276,Marshall,Conference USA,7,"[7, 0, 0, 0]",0.0012065760705681772,,
9,302452390,2010,1,regular,2010-09-02T19:30:00.000Z,,False,False,0,3948.0,Hard Rock Stadium,2390,Miami,ACC,45,"[14, 21, 7, 3]",0.990159306826044,50,Florida A&M,,0,"[0, 0, 0, 0]",0.009840693173955972,,
10,302452393,2010,1,regular,2010-09-02T19:30:00.000Z,,False,False,0,3725.0,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Sun Belt,17,"[0, 14, 3, 0]",0.9178879028282426,135,Minnesota,Big Ten,24,"[7, 7, 0, 10]",0.08211209717175738,,
11,302450005,2010,1,regular,2010-09-02T20:00:00.000Z,,False,False,0,3803.0,Legion Field,5,UAB,Conference USA,31,"[14, 7, 7, 3]",0.6504472331187469,2226,Florida Atlantic,Sun Belt,32,"[0, 12, 14, 6]",0.34955276688125314,,
12,302452655,2010,1,regular,2010-09-02T20:00:00.000Z,,False,False,0,3493.0,Mercedes-Benz Superdome,2655,Tulane,Conference USA,27,"[7, 10, 0, 10]",0.9596938775046607,2545,Southeastern Louisiana,,21,"[7, 0, 7, 7]",0.04030612249533927,,
13,302450066,2010,1,regular,2010-09-02T20:00:00.000Z,,False,False,0,3772.0,Jack Trice Stadium,66,Iowa State,Big 12,27,"[7, 10, 0, 10]",0.9397790569051155,2459,Northern Illinois,Mid-American,10,"[0, 0, 3, 7]",0.06022094309488446,,
14,302450254,2010,1,regular,2010-09-02T20:30:00.000Z,,False,False,0,587.0,Rice-Eccles Stadium,254,Utah,Mountain West,27,"[0, 14, 3, 7, 3]",0.692687735508257,221,Pittsburgh,Big East,24,"[0, 7, 3, 14, 0]",0.307312264491743,,
15,302450070,2010,1,regular,2010-09-02T21:00:00.000Z,,False,False,0,3791.0,Kibbie Dome,70,Idaho,Western Athletic,45,"[10, 7, 14, 14]",0.9808720351707957,155,North Dakota,,0,"[0, 0, 0, 0]",0.019127964829204314,,
16,302452440,2010,1,regular,2010-09-02T21:05:00.000Z,,False,False,0,3816.0,Mackay Stadium,2440,Nevada,Western Athletic,49,"[21, 7, 7, 14]",0.8924057976548427,331,Eastern Washington,,24,"[7, 3, 14, 0]",0.10759420234515726,,
17,302450062,2010,1,regular,2010-09-02T23:00:00.000Z,,False,False,0,3610.0,Aloha Stadium,62,Hawai'i,Western Athletic,36,"[3, 13, 7, 13]",0.39711705761288946,30,USC,Pac-10,49,"[14, 13, 15, 7]",0.6028829423871105,,
18,302460218,2010,1,regular,2010-09-03T17:00:00.000Z,,False,False,0,3806.0,Lincoln Financial Field,218,Temple,Mid-American,31,"[7, 3, 3, 18]",0.7333348261639804,222,Villanova,,24,"[0, 14, 0, 10]",0.2666651738360196,,
19,302462649,2010,1,regular,2010-09-03T20:00:00.000Z,,False,False,0,3739.0,Glass Bowl,2649,Toledo,Mid-American,2,"[0, 2, 0, 0]",0.029200495092617573,12,Arizona,Pac-10,41,"[7, 14, 7, 13]",0.9707995049073824,,
20,302470213,2010,1,regular,2010-09-04T12:00:00.000Z,,False,False,0,3632.0,Beaver Stadium,213,Penn State,Big Ten,44,"[3, 13, 14, 14]",0.9992760707704191,2754,Youngstown State,,14,"[7, 0, 0, 7]",0.0007239292295808664,,
21,302470057,2010,1,regular,2010-09-04T12:00:00.000Z,,False,False,0,3634.0,Ben Hill Griffin Stadium,57,Florida,SEC,34,"[0, 21, 0, 13]",0.9752350838483059,193,Miami (OH),Mid-American,12,"[3, 3, 3, 3]",0.024764916151694072,,
22,302470052,2010,1,regular,2010-09-04T12:00:00.000Z,,False,False,0,3697.0,Bobby Bowden Field at Doak Campbell Stadium,52,Florida State,ACC,59,"[7, 35, 7, 10]",0.9990232272235564,2535,Samford,,6,"[0, 3, 3, 0]",0.0009767727764435907,,
23,302470127,2010,1,regular,2010-09-04T12:00:00.000Z,,False,False,0,3936.0,Spartan Stadium,127,Michigan State,Big Ten,38,"[7, 21, 7, 3]",0.9646256802644068,2711,Western Michigan,Mid-American,14,"[7, 0, 7, 0]",0.03537431973559324,,
24,302472294,2010,1,regular,2010-09-04T12:05:00.000Z,,False,False,0,3793.0,Kinnick Stadium,2294,Iowa,Big Ten,37,"[21, 7, 2, 7]",0.9928164550004132,2197,Eastern Illinois,,7,"[0, 7, 0, 0]",0.007183544999586844,,
