,_id,_season,_week,_season_type,_start_date,_start_time_tbd,_neutral_site,_conference_game,_attendance,_venue_id,_venue,_home_id,_home_team,_home_conference,_home_points,_home_line_scores,_home_post_win_prob,_away_id,_away_team,_away_conference,_away_points,_away_line_scores,_away_post_win_prob,_excitement_index,discriminator
0,400763593,2015,1,regular,2015-09-03T18:00:00.000Z,,False,False,39184,3652,Bright House Networks Stadium,2116,UCF,American Athletic,14,"[7, 7, 0, 0]",0.10131731322441452,2229,Florida International,Conference USA,15,"[3, 0, 6, 6]",0.8986826867755855,5.3903379073,
1,400603840,2015,1,regular,2015-09-03T18:00:00.000Z,,True,False,51664,3628,Bank of America Stadium,2579,South Carolina,SEC,17,"[0, 10, 0, 7]",0.32245932505239777,153,North Carolina,ACC,13,"[7, 6, 0, 0]",0.6775406749476023,7.94978585869999,
2,400787299,2015,1,regular,2015-09-03T19:00:00.000Z,,False,False,10473,3919,Scheumann Stadium,2050,Ball State,Mid-American,48,"[3, 17, 14, 14]",0.5333798288849951,2678,VMI,,36,"[0, 10, 7, 19]",0.46662017111500487,4.7380781049,
3,400763399,2015,1,regular,2015-09-03T19:00:00.000Z,,False,False,19717,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,13,"[3, 3, 7, 0]",0.08629501978357867,197,Oklahoma State,Big 12,24,"[3, 7, 7, 7]",0.9137049802164213,3.1885406359,
4,400756896,2015,1,regular,2015-09-03T19:00:00.000Z,,False,False,27126,3630,BB&T Field,154,Wake Forest,ACC,41,"[3, 21, 14, 3]",0.9999861779726812,2210,Elon,,3,"[0, 0, 3, 0]",1.3822027318810548e-05,2.0872957646,
5,400756895,2015,1,regular,2015-09-03T19:30:00.000Z,,False,False,49196,721,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,69,"[34, 14, 14, 7]",0.9999971059852482,2016,Alcorn State,,6,"[0, 0, 6, 0]",2.8940147518419224e-06,1.04662376849999,
6,400764854,2015,1,regular,2015-09-03T19:30:00.000Z,,False,False,26113,3892,Rentschler Field,41,Connecticut,American Athletic,20,"[6, 0, 7, 7]",0.9751954499165597,222,Villanova,,15,"[0, 9, 0, 6]",0.02480455008344029,6.3109494228,
7,400603839,2015,1,regular,2015-09-03T20:00:00.000Z,,False,False,30307,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,12,"[0, 3, 0, 9]",0.6903780159152395,98,Western Kentucky,Conference USA,14,"[0, 0, 7, 7]",0.3096219840847605,5.6575509609,
8,400756883,2015,1,regular,2015-09-03T20:30:00.000Z,,False,False,47825,587,Rice-Eccles Stadium,254,Utah,Pac-12,24,"[3, 7, 7, 7]",0.9017524508885089,130,Michigan,Big Ten,17,"[0, 3, 7, 7]",0.09824754911149114,4.6176711164,
9,400787110,2015,1,regular,2015-09-03T21:00:00.000Z,,False,False,21209,3905,Romney Stadium,328,Utah State,Mountain West,12,"[5, 0, 0, 7]",0.29176428020527856,253,Southern Utah,,9,"[6, 3, 0, 0]",0.7082357197947214,8.8452949667,
10,400763398,2015,1,regular,2015-09-03T21:00:00.000Z,,False,False,54147,3953,TCF Bank Stadium,135,Minnesota,Big Ten,17,"[0, 3, 7, 7]",0.07837070413274612,2628,TCU,Big 12,23,"[10, 0, 10, 3]",0.9216292958672538,2.7537930284,
11,400787302,2015,1,regular,2015-09-03T21:00:00.000Z,,False,False,11587,3791,Kibbie Dome,70,Idaho,Sun Belt,28,"[3, 10, 0, 15]",0.005922595239181424,195,Ohio,Mid-American,45,"[21, 7, 3, 14]",0.9940774047608186,4.9746849037,
12,400756894,2015,1,regular,2015-09-03T21:30:00.000Z,,False,False,25470,4729,Benson Field at Yulman Stadium,2655,Tulane,American Athletic,7,"[0, 0, 0, 7]",0.005530112651445365,150,Duke,ACC,37,"[3, 10, 3, 21]",0.9944698873485547,2.7582590138,
13,400787108,2015,1,regular,2015-09-03T22:00:00.000Z,,False,False,21483,3816,Mackay Stadium,2440,Nevada,Mountain West,31,"[7, 14, 3, 7]",0.9974701755161006,302,UC Davis,,17,"[0, 3, 0, 14]",0.002529824483899379,2.4004603686,
14,400787109,2015,1,regular,2015-09-03T22:00:00.000Z,,False,False,15198,3935,Spartan Stadium,23,San José State,Mountain West,43,"[20, 6, 10, 7]",0.9992858856570889,160,New Hampshire,,13,"[0, 7, 0, 6]",0.0007141143429111318,2.0077161215,
15,400799923,2015,1,regular,2015-09-03T22:00:00.000Z,,False,False,32547,3660,Bulldog Stadium,278,Fresno State,Mountain West,34,"[14, 7, 10, 3]",0.9879852752659197,2000,Abilene Christian,,13,"[7, 0, 0, 6]",0.012014724734080273,3.63336776399999,
16,400756882,2015,1,regular,2015-09-03T22:00:00.000Z,,False,False,51111,3619,Arizona Stadium,12,Arizona,Pac-12,42,"[14, 7, 14, 7]",0.15371950284735622,2636,UT San Antonio,Conference USA,32,"[0, 20, 6, 6]",0.8462804971526438,1.45698808729999,
17,400787107,2015,1,regular,2015-09-04T01:00:00.000Z,,False,False,24255,3610,Aloha Stadium,62,Hawai'i,Mountain West,28,"[8, 10, 7, 3]",0.78293813326226,38,Colorado,Pac-12,20,"[0, 14, 3, 3]",0.21706186673774003,,
18,400763587,2015,1,regular,2015-09-04T15:30:00.000Z,,False,False,10252,3495,Georgia Dome,2247,Georgia State,Sun Belt,20,"[0, 3, 3, 14]",0.5179462015256432,2429,Charlotte,Conference USA,23,"[13, 7, 3, 0]",0.4820537984743568,4.9427680109,
19,400756903,2015,1,regular,2015-09-04T19:00:00.000Z,,False,False,30112,1964,Carrier Dome,183,Syracuse,ACC,47,"[14, 17, 9, 7]",0.9999822963474416,227,Rhode Island,,0,"[0, 0, 0, 0]",1.7703652558376248e-05,2.0281674299,
20,400764855,2015,1,regular,2015-09-04T19:00:00.000Z,,False,False,32047,3735,Gerald J. Ford Stadium,2567,SMU,American Athletic,21,"[14, 7, 0, 0]",0.003645725186432551,239,Baylor,Big 12,56,"[28, 0, 14, 14]",0.9963542748135674,1.80597644569999,
21,400763470,2015,1,regular,2015-09-04T19:00:00.000Z,,False,False,30885,3980,Waldo Stadium,2711,Western Michigan,Mid-American,24,"[7, 3, 7, 7]",0.08767580318556788,127,Michigan State,Big Ten,37,"[20, 7, 7, 3]",0.9123241968144321,1.2308073913,
22,400760491,2015,1,regular,2015-09-04T19:00:00.000Z,,False,False,22523,3841,Blaik Field at Michie Stadium,349,Army,FBS Independents,35,"[14, 7, 8, 6]",0.5078210156917,2230,Fordham,,37,"[14, 13, 2, 8]",0.4921789843083,6.95966309979999,
23,400756887,2015,1,regular,2015-09-04T20:00:00.000Z,,False,False,35160,3893,Reser Stadium,204,Oregon State,Pac-12,26,"[0, 6, 7, 13]",0.99973849786178,2692,Weber State,,7,"[0, 0, 7, 0]",0.00026150213821996005,4.2286517652,
24,400756888,2015,1,regular,2015-09-04T22:26:00.000Z,,False,False,36836,3653,Albertsons Stadium,68,Boise State,Mountain West,16,"[6, 10, 0, 0]",0.9599791190224326,264,Washington,Pac-12,13,"[0, 0, 10, 3]",0.0400208809775674,5.211559612,
